RT,SERIALNO,SPORDER,PUMA00,PUMA10,ST,ADJINC,PWGTP,AGEP,CIT,CITWP05,CITWP12,COW,DDRS,DEAR,DEYE,DOUT,DPHY,DRAT,DRATX,DREM,ENG,FER,GCL,GCM,GCR,HINS1,HINS2,HINS3,HINS4,HINS5,HINS6,HINS7,INTP,JWMNP,JWRIP,JWTR,LANX,MAR,MARHD,MARHM,MARHT,MARHW,MARHYP05,MARHYP12,MIG,MIL,MLPA,MLPB,MLPCD,MLPE,MLPFG,MLPH,MLPI,MLPJ,MLPK,NWAB,NWAV,NWLA,NWLK,NWRE,OIP,PAP,RELP,RETP,SCH,SCHG,SCHL,SEMP,SEX,SSIP,SSP,WAGP,WKHP,WKL,WKW,WRK,YOEP05,YOEP12,ANC,ANC1P05,ANC1P12,ANC2P05,ANC2P12,DECADE,DIS,DRIVESP,ESP,ESR,FOD1P,FOD2P,HICOV,HISP,INDP,JWAP,JWDP,LANP05,LANP12,MIGPUMA00,MIGPUMA10,MIGSP05,MIGSP12,MSP,NAICSP,NATIVITY,NOP,OC,OCCP10,OCCP12,PAOC,PERNP,PINCP,POBP05,POBP12,POVPIP,POWPUMA00,POWPUMA10,POWSP05,POWSP12,PRIVCOV,PUBCOV,QTRBIR,RAC1P,RAC2P05,RAC2P12,RAC3P05,RAC3P12,RACAIAN,RACASN,RACBLK,RACNHPI,RACNUM,RACSOR,RACWHT,RC,SCIENGP,SCIENGRLP,SFN,SFR,SOCP10,SOCP12,VPS,WAOB,FAGEP,FANCP,FCITP,FCITWP,FCOWP,FDDRSP,FDEARP,FDEYEP,FDOUTP,FDPHYP,FDRATP,FDRATXP,FDREMP,FENGP,FESRP,FFERP,FFODP,FGCLP,FGCMP,FGCRP,FHINS1P,FHINS2P,FHINS3C,FHINS3P,FHINS4C,FHINS4P,FHINS5C,FHINS5P,FHINS6P,FHINS7P,FHISP,FINDP,FINTP,FJWDP,FJWMNP,FJWRIP,FJWTRP,FLANP,FLANXP,FMARHDP,FMARHMP,FMARHTP,FMARHWP,FMARHYP,FMARP,FMIGP,FMIGSP,FMILPP,FMILSP,FOCCP,FOIP,FPAP,FPOBP,FPOWSP,FRACP,FRELP,FRETP,FSCHGP,FSCHLP,FSCHP,FSEMP,FSEXP,FSSIP,FSSP,FWAGP,FWKHP,FWKLP,FWKWP,FWRKP,FYOEP,PWGTP1,PWGTP2,PWGTP3,PWGTP4,PWGTP5,PWGTP6,PWGTP7,PWGTP8,PWGTP9,PWGTP10,PWGTP11,PWGTP12,PWGTP13,PWGTP14,PWGTP15,PWGTP16,PWGTP17,PWGTP18,PWGTP19,PWGTP20,PWGTP21,PWGTP22,PWGTP23,PWGTP24,PWGTP25,PWGTP26,PWGTP27,PWGTP28,PWGTP29,PWGTP30,PWGTP31,PWGTP32,PWGTP33,PWGTP34,PWGTP35,PWGTP36,PWGTP37,PWGTP38,PWGTP39,PWGTP40,PWGTP41,PWGTP42,PWGTP43,PWGTP44,PWGTP45,PWGTP46,PWGTP47,PWGTP48,PWGTP49,PWGTP50,PWGTP51,PWGTP52,PWGTP53,PWGTP54,PWGTP55,PWGTP56,PWGTP57,PWGTP58,PWGTP59,PWGTP60,PWGTP61,PWGTP62,PWGTP63,PWGTP64,PWGTP65,PWGTP66,PWGTP67,PWGTP68,PWGTP69,PWGTP70,PWGTP71,PWGTP72,PWGTP73,PWGTP74,PWGTP75,PWGTP76,PWGTP77,PWGTP78,PWGTP79,PWGTP80,FDISP,FPERNP,FPINCP,FPRIVCOVP,FPUBCOVP
P,2011000001481,3,3400,-9,25,1073094,11,12,1,,,,2,2,2,,2,,,2,,,,,,1,2,2,2,2,2,2,,,,,2,5,,,,,,,1,,,,,,,,,,,,,,,,,,2,,2,8,9,,2,,,,,,,,,,2,51,-9,46,-9,,2,,1,,,,1,1,,,,,,,,,,,,1,1,1,,,,,,25,-9,501,,,,,1,2,3,1,1,-9,69,-9,0,0,0,0,1,0,1,1,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,,1,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,10,3,10,12,4,12,20,4,4,20,8,10,19,9,19,11,10,4,9,20,13,20,12,10,20,9,3,15,14,3,12,12,4,13,3,12,11,18,13,4,11,3,12,11,4,10,20,4,3,19,10,10,20,9,17,10,12,3,11,17,12,17,12,10,21,13,2,21,19,3,12,10,3,15,3,9,11,20,0,0,0,1,1
P,2011000001481,4,3400,-9,25,1073094,11,11,1,,,,2,2,2,,2,,,2,,,,,,1,2,2,2,2,2,2,,,,,2,5,,,,,,,1,,,,,,,,,,,,,,,,,,2,,2,7,8,,1,,,,,,,,,,2,51,-9,46,-9,,2,,1,,,,1,1,,,,,,,,,,,,1,1,1,,,,,,25,-9,501,,,,,1,2,3,1,1,-9,69,-9,0,0,0,0,1,0,1,1,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,,1,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,15,3,11,13,4,13,21,4,3,20,10,14,19,10,17,12,15,3,9,21,14,20,12,10,19,11,4,20,17,3,14,11,4,12,2,14,12,21,14,4,14,3,11,12,3,13,20,5,4,21,12,11,16,11,19,15,14,3,10,21,14,16,9,12,24,14,3,19,21,4,13,11,3,13,3,13,13,24,0,0,0,1,1
P,2011000001506,1,3303,-9,25,1073094,10,71,4,1995,-9,,2,2,2,2,2,,,1,3,,2,,,2,2,1,1,2,2,2,0,,,,1,3,2,2,1,2,1983,-9,1,4,,,,,,,,,,3,5,3,3,3,0,0,0,0,1,,9,0,1,0,12900,0,,3,,,1980,-9,4,999,-9,999,-9,5,1,,,6,,,1,3,,,,625,-9,,,,,4,,2,,0,,,,0,12900,329,-9,122,,,,,2,1,2,8,66,-9,1,-9,0,0,0,0,1,1,0,0,,,,,,,,3,0,0,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,1,,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,0,1,0,0,1,8,10,11,2,10,14,9,5,4,10,12,3,14,9,25,34,13,20,4,11,10,10,8,3,8,13,13,2,3,11,14,3,14,12,18,16,11,19,3,8,14,10,9,3,12,21,11,4,2,9,12,2,16,9,19,27,9,17,3,9,8,14,8,3,8,15,15,3,2,9,11,3,18,9,25,19,11,18,4,7,1,1,1,1,1
P,2011000001508,1,4200,-9,25,1073094,27,35,1,,,1,2,2,2,2,2,,,2,1,,2,,,1,2,2,2,2,2,2,0,45,1,1,1,5,,,,,,,3,4,,,,,,,,,,3,5,3,3,3,0,0,0,0,1,,16,0,1,0,0,60000,45,1,1,1,,,1,84,-9,999,-9,,2,1,,1,,,1,1,4470,67,19,629,-9,4200,-9,25,-9,6,4244,1,,0,4850,N.A.,,60000,60000,25,-9,501,3700,-9,25,-9,1,2,2,1,1,-9,69,-9,0,0,0,0,1,0,1,0,,,,,414010,N.A.//,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,27,25,26,26,29,51,53,60,27,7,28,42,25,24,44,26,8,10,38,39,36,28,26,35,28,7,10,8,23,48,22,8,22,25,8,29,42,36,40,43,35,27,30,38,25,7,9,11,29,46,23,8,28,22,7,22,41,46,8,8,26,24,24,27,25,42,48,55,20,7,32,40,25,23,48,34,6,9,8,0,0,0,0,0
P,2011000001572,1,3400,-9,25,1073094,17,37,1,,,6,2,2,2,2,2,,,2,,,2,,,1,2,2,2,2,2,2,0,15,1,1,2,1,2,2,1,2,2004,-9,3,4,,,,,,,,,,3,5,3,3,3,0,0,0,0,1,,23,125000,1,0,0,0,36,1,1,1,,,2,190,-9,998,-9,,2,1,,1,5200,,1,1,7990,97,55,,,3300,-9,25,-9,1,62131,1,,0,3000,N.A.,,125000,125000,25,-9,501,3400,-9,25,-9,1,2,2,1,1,-9,69,-9,0,0,0,0,1,0,1,0,1,2,,,291011,N.A.//,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,15,15,15,4,30,7,16,26,31,26,14,5,28,14,13,19,15,16,22,26,19,15,16,25,6,32,14,5,4,6,16,29,5,16,15,17,19,20,5,5,16,16,19,5,29,4,19,29,27,24,16,5,26,16,16,15,16,17,28,30,16,15,15,24,4,24,15,5,4,5,16,27,4,15,16,15,17,16,0,0,0,0,0
P,2011000001572,2,3400,-9,25,1073094,15,36,1,,,2,2,2,2,2,2,,,2,,2,2,,,1,2,2,2,2,2,2,0,55,,2,2,1,2,2,1,2,2004,-9,3,4,,,,,,,,,,3,5,3,3,3,0,0,1,0,1,,23,0,2,0,0,113000,32,1,1,1,,,2,190,-9,998,-9,,2,,,1,5200,5506,1,1,8180,105,55,,,3300,-9,25,-9,1,621M,1,,0,2100,N.A.,1,113000,113000,25,-9,501,3300,-9,25,-9,1,2,2,1,1,-9,69,-9,0,0,0,0,1,0,1,0,1,2,,,2310XX,N.A.//,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,16,15,13,4,26,5,14,25,30,24,13,5,27,15,14,16,17,17,26,25,15,15,15,25,4,25,15,5,5,5,15,24,4,16,16,17,18,16,5,5,18,13,16,4,29,5,15,26,28,29,18,5,26,16,13,14,16,14,27,30,16,13,16,25,5,33,15,5,4,4,15,30,4,13,14,14,16,14,1,0,0,0,0
P,2011000001572,3,3400,-9,25,1073094,14,4,1,,,,,2,2,,,,,,,,,,,1,2,2,2,2,2,2,,,,,,5,,,,,,,3,,,,,,,,,,,,,,,,,,2,,1,,1,,2,,,,,,,,,,2,190,-9,998,-9,,2,,1,,,,1,1,,,,,,3300,-9,25,-9,,,1,1,1,,,,,,25,-9,501,,,,,1,2,3,1,1,-9,69,-9,0,0,0,0,1,0,1,1,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,10,14,13,4,24,3,15,29,20,21,14,4,22,15,11,12,14,12,22,23,12,19,13,21,5,22,15,4,3,6,12,20,4,16,15,13,13,15,5,4,12,12,14,4,27,4,11,17,25,18,15,4,25,13,8,13,11,14,22,25,16,14,14,21,5,27,11,4,5,5,15,25,4,9,10,16,15,11,0,0,0,0,0
P,2011000001572,4,3400,-9,25,1073094,13,1,1,,,,,2,2,,,,,,,,,,,1,2,2,2,2,2,2,,,,,,5,,,,,,,3,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,,,,2,190,-9,998,-9,,2,,1,,,,1,1,,,,,,3300,-9,25,-9,,,1,1,1,,,,,,25,-9,501,,,,,1,2,3,1,1,-9,69,-9,0,0,0,0,1,0,1,1,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,10,14,13,4,25,4,14,28,20,21,14,4,22,15,11,12,14,12,21,24,12,20,13,22,5,23,15,4,3,5,13,20,4,16,15,13,13,16,4,4,12,13,13,5,27,5,11,17,24,18,15,3,25,13,8,13,10,13,22,25,16,14,14,21,6,27,12,4,4,5,15,24,4,10,10,16,15,11,0,0,0,0,0
P,2011000001611,1,4500,-9,25,1073094,9,20,1,,,4,2,2,2,2,2,,,2,,2,,,,2,1,2,2,2,2,2,0,,,,2,5,,,,,,,1,4,,,,,,,,,,1,5,2,3,3,0,0,17,0,2,15,19,0,2,0,0,9900,10,1,3,2,,,2,935,-9,50,-9,,2,,,3,,,1,1,7870,,,,,,,,,6,611M1,1,,0,2540,N.A.,,9900,9900,44,-9,,,,,,1,2,2,1,1,-9,69,-9,0,0,0,0,1,0,1,0,,,,,259041,N.A.//,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,17,8,1,8,9,2,9,16,17,16,8,9,8,9,8,1,1,1,1,9,2,9,16,8,9,17,9,1,2,1,9,9,9,9,9,16,16,16,16,9,16,8,2,9,9,2,8,16,16,17,8,9,9,9,9,1,1,1,1,9,2,8,16,9,9,16,9,1,1,1,9,9,8,9,9,16,15,15,17,0,0,0,0,0
P,2011000001656,1,1400,-9,25,1073094,20,53,1,,,7,2,2,2,2,2,,,2,,,2,,,1,1,2,2,2,2,2,0,15,1,1,2,1,2,2,1,2,1981,-9,1,4,,,,,,,,,,3,5,3,3,3,0,0,0,0,1,,16,0,1,0,0,200000,60,1,1,1,,,1,50,-9,999,-9,,2,1,,1,,,1,1,4290,97,55,,,,,,,1,4239Z,1,,0,4850,N.A.,,200000,200000,25,-9,501,2300,-9,25,-9,1,2,1,1,1,-9,69,-9,0,0,0,0,1,0,1,0,,,,,414010,N.A.//,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,1,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,35,6,31,22,18,18,23,17,21,7,36,21,23,34,35,24,5,6,20,7,20,23,22,5,34,36,40,38,6,19,18,36,6,19,18,5,22,21,7,21,33,7,30,23,24,16,18,21,19,8,37,21,20,31,37,17,7,6,18,6,24,17,18,6,30,39,40,32,8,21,22,37,6,21,20,8,16,21,6,0,0,0,1,1
P,2011000001656,2,1400,-9,25,1073094,22,52,1,,,,2,2,2,2,2,,,2,,,2,,,1,2,2,2,2,2,2,0,,,,2,1,2,2,1,2,1981,-9,1,4,,,,,,,,,,2,5,2,2,2,0,0,1,0,1,,19,0,2,0,0,0,,3,,2,,,1,51,-9,999,-9,,2,,,6,,,1,1,,,,,,,,,,1,,1,,0,,,4,0,0,25,-9,501,,,,,1,2,4,1,1,-9,69,-9,0,0,0,0,1,0,1,0,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,43,7,33,25,23,23,25,22,21,7,32,23,25,37,37,21,7,6,18,7,23,21,22,7,34,37,40,38,6,22,20,37,8,21,22,7,19,22,8,23,43,6,33,20,24,21,24,23,23,7,36,23,25,30,38,20,6,7,22,7,25,18,26,8,29,37,34,39,6,23,20,38,9,23,24,7,19,22,6,0,0,0,0,0
P,2011000001656,3,1400,-9,25,1073094,24,26,1,,,1,2,2,2,2,2,,,2,,,,,,1,2,2,2,2,2,2,0,15,1,1,2,5,,,,,,,1,4,,,,,,,,,,3,5,3,3,3,0,0,2,0,1,,21,0,1,0,0,30000,40,1,1,1,,,2,50,-9,51,-9,,2,1,,1,1901,,1,1,4290,97,55,,,,,,,6,4239Z,1,,0,4850,N.A.,,30000,30000,25,-9,501,2300,-9,25,-9,1,2,1,1,1,-9,69,-9,0,0,0,0,1,0,1,0,2,2,,,414010,N.A.//,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,43,5,43,19,25,23,20,20,21,7,42,20,26,43,40,22,9,7,22,7,20,24,33,8,40,38,40,53,7,24,24,48,6,23,25,8,22,21,9,27,36,8,40,23,27,29,25,24,23,7,36,24,27,36,35,23,7,7,21,7,26,19,20,9,34,33,41,31,5,23,22,37,7,23,22,7,21,25,7,0,0,0,0,0
P,2011000001656,4,1400,-9,25,1073094,20,22,1,,,1,2,2,2,1,2,,,2,,2,,,,1,2,2,2,2,2,2,0,,,,2,5,,,,,,,1,4,,,,,,,,,,2,1,2,1,2,0,0,2,0,1,,19,0,2,0,0,750,15,1,6,2,,,2,50,-9,51,-9,,1,,,3,,,1,1,5380,,,,,,,,,6,45211,1,,0,4760,N.A.,4,750,750,25,-9,501,,,,,1,2,1,1,1,-9,69,-9,0,0,0,0,1,0,1,0,,,,,412031,N.A.//,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,23,33,8,29,22,27,26,19,21,18,6,34,21,21,33,31,23,6,6,17,6,22,22,25,7,31,36,33,41,5,22,20,31,5,21,21,6,21,22,6,24,48,7,33,19,25,16,22,20,19,7,29,18,21,29,37,21,8,7,22,6,23,19,22,6,34,36,32,37,4,24,22,31,6,15,20,7,20,22,6,0,1,1,0,0
P,2011000001684,1,2900,-9,25,1073094,16,38,1,,,1,2,2,2,2,2,1,1,2,1,,2,,,1,2,2,2,2,2,2,0,60,1,1,1,3,2,2,1,2,1994,-9,3,2,0,1,0,0,0,0,0,0,0,3,5,3,3,3,0,0,0,0,1,,16,0,1,0,0,72000,52,1,1,1,,,2,68,-9,26,-9,,2,1,,1,,,1,1,4170,100,49,620,-9,2900,-9,25,-9,4,4234,1,,0,1020,N.A.,,72000,72000,25,-9,419,3500,-9,25,-9,1,2,2,1,1,-9,69,-9,0,0,0,0,1,0,1,0,,,,,15113X,N.A.//,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,25,16,24,28,14,26,5,17,16,20,4,18,25,19,4,5,17,14,17,4,35,16,26,28,17,31,5,16,15,17,3,15,23,21,5,5,16,14,17,25,5,16,5,4,16,5,29,14,19,17,37,16,4,14,34,25,13,14,13,23,6,15,6,5,16,7,27,17,18,16,25,18,6,19,27,23,15,12,20,0,0,0,0,0
P,2011000001684,2,2900,-9,25,1073094,10,16,1,,,1,2,2,2,2,2,,,2,,2,,,,1,2,2,2,2,2,2,0,,,,2,5,,,,,,,1,,,,,,,,,,,2,3,2,2,3,0,0,2,0,2,12,12,0,2,0,0,400,8,1,6,2,,,2,720,-9,26,-9,,2,,5,6,,,1,1,4580,,,,,,,,,6,4249Z,1,5,1,4720,N.A.,4,400,400,51,-9,419,,,,,1,2,1,9,67,-9,59,-9,0,1,0,0,2,0,1,1,,,,,412010,N.A.//,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,16,13,13,17,8,16,2,11,8,17,3,13,18,12,5,3,11,10,9,3,15,9,15,24,9,16,5,13,17,6,4,7,13,14,3,4,9,11,9,17,4,17,2,3,12,3,19,8,14,11,17,12,3,14,18,15,13,7,12,10,2,13,3,4,6,4,30,12,8,9,24,13,4,7,14,25,12,8,8,0,0,0,0,0
P,2011000001684,3,2900,-9,25,1073094,10,15,1,,,,2,2,2,2,2,,,2,1,,,,,1,2,2,2,2,2,2,0,,,,1,5,,,,,,,1,,,,,,,,,,,,,,,,0,0,2,0,2,10,10,0,1,0,2700,0,,,,,,,2,720,-9,26,-9,,2,,5,,,,1,1,,,,620,-9,,,,,6,,1,5,1,,,,,2700,25,-9,419,,,,,1,2,1,9,67,-9,59,-9,0,1,0,0,2,0,1,1,,,,,,,,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,4,16,13,13,17,9,15,3,11,8,16,3,12,18,13,5,3,12,11,9,2,15,9,14,24,9,16,5,12,16,7,4,8,13,14,3,4,9,11,9,19,5,16,3,4,13,3,18,8,14,10,17,11,3,14,18,14,14,7,12,10,3,13,2,4,6,3,30,12,10,9,24,13,4,7,15,25,11,8,9,1,0,1,0,0
P,2011000001709,1,800,-9,25,1073094,19,46,1,,,1,2,2,2,2,2,,,2,,,2,,,1,2,2,2,2,2,2,0,25,1,1,2,1,2,2,1,2,2000,-9,1,4,,,,,,,,,,3,5,3,3,3,0,0,0,0,1,,16,0,1,0,0,36000,36,1,3,1,,,2,32,-9,88,-9,,2,1,,1,,,1,1,7070,93,49,,,,,,,1,531,1,,0,4220,N.A.,,36000,36000,39,-9,501,1000,-9,25,-9,1,2,3,1,1,-9,69,-9,0,0,0,0,1,0,1,0,,,,,37201X,N.A.//,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,17,28,36,29,41,21,16,26,31,15,28,30,20,21,19,20,29,18,19,6,16,7,6,6,7,18,15,5,5,16,4,5,17,20,22,20,5,19,17,5,18,7,6,5,7,20,16,5,6,20,4,5,19,14,15,16,6,19,19,39,17,37,32,28,33,18,17,31,34,16,29,30,18,18,17,19,26,20,20,0,0,0,0,0
P,2011000001709,2,800,-9,25,1073094,16,46,1,,,3,2,2,2,2,2,,,2,,2,2,,,1,2,2,2,2,2,2,0,45,1,1,2,1,2,2,2,2,2000,-9,1,4,,,,,,,,,,3,5,3,3,3,0,0,1,0,1,,20,0,2,0,0,60000,42,1,1,1,,,1,129,-9,999,-9,,2,1,,1,,,1,1,9470,79,31,,,,,,,1,92MP,1,,0,3740,N.A.,2,60000,60000,25,-9,501,1100,-9,25,-9,1,2,1,1,1,-9,69,-9,0,0,0,0,1,0,1,0,,,,,332011,N.A.//,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,17,23,27,24,31,16,16,27,25,17,26,31,18,18,16,15,25,12,16,5,14,5,4,5,5,16,14,5,3,16,5,6,21,17,17,16,5,15,14,5,16,5,6,5,4,15,17,4,5,18,4,5,16,15,16,15,5,14,14,34,14,28,30,28,27,17,15,23,30,17,27,30,20,18,15,18,23,17,18,0,0,0,0,0
P,2011000001709,3,800,-9,25,1073094,19,8,1,,,,2,2,2,,2,,,2,,,,,,1,2,2,2,2,2,2,,,,,2,5,,,,,,,1,,,,,,,,,,,,,,,,,,2,,2,4,5,,1,,,,,,,,,,2,32,-9,88,-9,,2,,1,,,,1,1,,,,,,,,,,,,1,1,1,,,,,,25,-9,501,,,,,1,2,2,1,1,-9,69,-9,0,0,0,0,1,0,1,1,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,19,30,26,27,39,21,17,29,35,18,29,33,22,18,18,19,28,18,18,5,19,6,5,5,7,18,21,6,5,16,5,6,16,19,17,20,6,18,19,4,20,5,7,6,5,17,15,5,5,19,5,5,19,17,18,16,5,18,22,44,16,38,30,26,32,22,19,30,31,20,30,31,20,18,20,19,25,19,21,0,0,0,0,0
P,2011000001768,1,4300,-9,25,1073094,75,37,1,,,2,2,2,2,2,2,,,2,,2,2,,,1,2,2,2,2,2,2,0,18,1,1,2,1,2,2,1,2,1998,-9,1,4,,,,,,,,,,3,5,3,3,3,0,0,0,0,3,16,21,0,2,0,0,85000,40,1,1,1,,,2,22,-9,50,-9,,2,1,,1,6107,,1,1,8190,76,34,,,,,,,1,622,1,,0,3600,N.A.,3,85000,85000,25,-9,501,100,-9,44,-9,1,2,1,1,1,-9,69,-9,0,0,0,0,1,0,1,0,2,1,,,311010,N.A.//,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,148,84,79,72,22,73,76,121,24,122,95,74,82,21,22,122,97,77,124,68,26,73,72,92,114,70,61,24,110,18,26,75,80,105,121,21,67,77,26,69,123,76,83,91,23,74,67,112,20,107,116,66,65,24,26,120,69,83,122,70,27,76,74,86,126,69,71,24,100,25,25,74,70,110,142,23,72,73,24,0,0,0,0,0
P,2011000001768,2,4300,-9,25,1073094,60,41,1,,,1,2,2,2,2,2,,,2,,,2,,,1,2,2,2,2,2,2,0,50,1,1,2,1,2,2,1,2,1998,-9,1,4,,,,,,,,,,3,5,3,3,3,0,0,1,0,3,16,21,0,1,0,0,78000,36,1,3,1,,,1,336,-9,999,-9,,2,1,,1,6107,,1,1,8180,74,25,,,,,,,1,621M,1,,0,3220,N.A.,,78000,78000,25,-9,501,3400,-9,25,-9,1,2,2,2,2,-9,44,-9,0,0,1,0,1,0,0,0,2,1,,,291126,N.A.//,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,111,49,82,62,15,55,69,89,25,71,79,50,57,19,26,124,71,63,96,46,32,49,71,63,79,49,34,26,110,13,27,71,55,57,117,38,64,62,24,44,123,47,73,74,18,40,46,106,36,84,87,51,50,16,26,103,66,69,77,83,23,49,61,75,68,49,58,17,80,14,20,72,91,101,98,38,57,57,20,0,0,0,0,0
