insp,RT,SERIALNO,DIVISION,PUMA00,PUMA10,REGION,ST,ADJHSG,ADJINC,WGTP,NP,TYPE,ACR,AGS,BATH,BDSP,BLD,BUS,CONP,ELEP,FS,FULP,GASP,HFL,MHP,MRGI,MRGP,MRGT,MRGX,REFR,RMSP,RNTM,RNTP,RWAT,RWATPR,SINK,SMP,STOV,TEL,TEN,TOIL,VACS,VALP,VEH,WATP,YBL,FES,FINCP,FPARC,GRNTP,GRPIP,HHL,HHT,HINCP,HUGCL,HUPAC,HUPAOC,HUPARC,KIT,LNGI,MULTG,MV,NOC,NPF,NPP,NR,NRC,OCPIP,PARTNER,PLM,PSF,R18,R60,R65,RESMODE,SMOCP,SMX,SRNT,SVAL,TAXP,WIF,WKEXREL,WORKSTAT,FACRP,FAGSP,FBATHP,FBDSP,FBLDP,FBUSP,FCONP,FELEP,FFSP,FFULP,FGASP,FHFLP,FINSP,FKITP,FMHP,FMRGIP,FMRGP,FMRGTP,FMRGXP,FMVP,FPLMP,FREFRP,FRMSP,FRNTMP,FRNTP,FRWATP,FRWATPRP,FSINKP,FSMP,FSMXHP,FSMXSP,FSTOVP,FTAXP,FTELP,FTENP,FTOILP,FVACSP,FVALP,FVEHP,FWATP,FYBLP,WGTP1,WGTP2,WGTP3,WGTP4,WGTP5,WGTP6,WGTP7,WGTP8,WGTP9,WGTP10,WGTP11,WGTP12,WGTP13,WGTP14,WGTP15,WGTP16,WGTP17,WGTP18,WGTP19,WGTP20,WGTP21,WGTP22,WGTP23,WGTP24,WGTP25,WGTP26,WGTP27,WGTP28,WGTP29,WGTP30,WGTP31,WGTP32,WGTP33,WGTP34,WGTP35,WGTP36,WGTP37,WGTP38,WGTP39,WGTP40,WGTP41,WGTP42,WGTP43,WGTP44,WGTP45,WGTP46,WGTP47,WGTP48,WGTP49,WGTP50,WGTP51,WGTP52,WGTP53,WGTP54,WGTP55,WGTP56,WGTP57,WGTP58,WGTP59,WGTP60,WGTP61,WGTP62,WGTP63,WGTP64,WGTP65,WGTP66,WGTP67,WGTP68,WGTP69,WGTP70,WGTP71,WGTP72,WGTP73,WGTP74,WGTP75,WGTP76,WGTP77,WGTP78,WGTP79,WGTP80,FFINCP,FGRNTP,FHINCP,FSMOCP
1200,H,2011000000677,1,400,-9,1,25,1053874,1073094,8,4,1,2,1,1,4,2,2,0,140,2,6200,20,4,,2,2600,2,1,1,8,,,1,9,1,,1,1,1,1,,650000,2,2,8,1,238800,1,,,3,1,238800,1,1,1,1,1,1,2,4,1,4,0,0,1,20,0,1,0,1,1,0,1,4002,3,0,1,65,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,8,15,15,3,3,8,8,9,8,11,2,9,8,9,17,3,8,7,17,2,7,3,2,13,18,9,9,8,9,3,13,9,9,9,3,17,10,9,2,11,8,13,12,3,3,9,8,10,10,16,2,10,9,10,13,2,11,7,12,2,8,2,3,16,11,8,9,9,10,3,20,8,5,10,2,11,9,10,2,0,,0,0
1300,H,2011000000694,1,3900,-9,1,25,1053874,1073094,11,5,1,1,,1,4,2,2,0,60,2,2,50,1,,1,2000,1,1,1,7,,,1,9,1,30,1,1,1,1,,450000,2,600,2,2,62100,2,,,1,1,62100,0,2,2,2,1,1,1,2,3,5,0,0,3,42,0,1,0,1,0,0,1,2190,2,0,1,59,1,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4,12,20,22,10,14,11,11,11,3,12,20,3,11,3,12,18,13,18,4,19,11,3,3,11,14,10,12,10,18,12,4,24,11,19,13,4,10,4,20,3,10,20,20,11,11,11,10,12,4,14,18,3,11,4,11,19,14,18,3,16,10,3,4,12,11,12,11,12,19,12,4,20,12,19,11,3,12,3,0,,0,0
,H,2011000000747,1,100,-9,1,25,1053874,1073094,9,1,1,,,1,1,4,,,50,2,2,3,4,,,,,,1,5,2,830,1,9,1,,1,1,3,1,,,1,1,6,,,,880,35,1,6,30400,0,4,4,4,1,1,1,3,0,,0,0,0,,0,1,0,0,1,0,2,,,1,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,9,3,3,11,10,11,3,14,3,9,17,17,18,11,3,16,10,3,3,17,15,9,12,2,3,14,11,11,11,18,10,9,8,3,9,9,17,13,9,9,8,2,2,12,11,10,3,16,2,10,14,16,21,8,2,18,11,3,2,15,17,10,9,2,4,20,11,10,10,18,12,11,8,3,10,9,19,10,0,0,0,
,H,2011000000765,1,900,-9,1,25,1053874,1073094,0,1,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1000,H,2011000000772,1,3200,-9,1,25,1053874,1073094,7,1,1,1,,1,3,2,2,0,40,2,2,90,1,,1,200,2,1,1,7,,,1,9,1,,1,1,1,1,,775000,1,500,1,,,,,,1,6,35000,0,4,4,4,1,1,1,5,0,,0,0,0,26,0,1,0,0,1,0,2,747,3,0,1,57,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,8,13,13,3,2,8,6,7,8,12,3,8,7,8,14,2,6,8,15,2,7,2,2,12,14,6,7,8,8,2,11,6,6,5,3,14,9,8,2,11,6,11,16,2,3,7,8,8,8,11,3,7,6,7,13,2,8,8,12,2,7,2,2,15,14,7,9,8,8,2,13,8,7,7,3,11,9,8,2,0,,0,1
,H,2011000000796,1,3305,-9,1,25,1053874,1073094,57,2,1,,,1,2,8,,,20,1,2,3,1,,,,,,1,5,2,260,1,9,1,,1,1,3,1,,,0,1,2,8,12600,2,280,27,2,3,12600,0,2,2,2,1,2,1,4,1,2,0,0,1,,0,1,0,1,0,0,2,,,1,0,,0,15,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,60,55,54,46,69,79,17,67,49,110,13,13,46,57,38,104,18,90,102,18,100,59,15,17,58,76,50,51,90,25,55,75,63,70,13,64,90,66,44,65,65,63,54,51,73,70,19,72,45,48,22,21,19,49,66,92,23,40,90,25,89,63,18,17,47,76,70,49,74,19,57,39,62,115,26,59,45,112,65,52,0,0,0,
,H,2011000000800,1,3301,-9,1,25,1053874,1073094,66,0,1,,,1,2,4,,,,,,,,,,,,,1,6,2,1600,1,9,1,,1,,,1,1,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,2,,,1,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,89,47,71,65,21,20,56,27,106,21,109,64,121,105,69,83,70,72,56,111,54,19,83,102,77,56,19,68,71,69,63,19,59,76,117,91,18,28,74,19,72,108,25,19,55,66,126,66,72,60,46,100,53,47,21,21,116,98,107,86,23,66,85,65,108,123,62,103,20,84,23,67,22,19,46,71,61,58,20,0,,0,
,H,2011000000886,1,3302,-9,1,25,1053874,1073094,0,1,3,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
,H,2011000000919,1,4100,-9,1,25,1053874,1073094,13,2,1,1,,1,2,2,2,,100,2,2,3,4,,,,,,1,5,2,730,1,9,1,,1,1,3,1,,,0,2,5,,,,830,20,1,5,50400,0,4,4,4,1,1,1,5,0,,0,1,0,,2,1,0,0,2,2,2,,,1,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,4,4,13,4,25,13,16,13,24,13,3,14,21,19,13,13,21,13,4,15,3,3,13,4,20,11,12,12,24,14,4,14,20,20,15,17,20,15,3,12,4,4,13,4,24,13,12,15,19,14,4,14,25,26,14,11,23,13,4,13,4,3,13,4,18,13,12,13,20,12,5,11,22,23,12,15,24,14,0,0,0,
600,H,2011000000921,1,3500,-9,1,25,1053874,1073094,25,2,1,1,,1,3,3,2,260,100,2,2,100,1,,2,60,2,1,1,8,,,1,9,1,,1,1,1,1,,500000,2,300,8,4,65600,4,,,1,1,65600,0,4,4,4,1,1,1,4,0,2,0,0,0,19,0,1,0,0,2,2,1,1053,3,0,1,63,1,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,23,7,28,43,8,9,35,29,22,44,24,52,23,22,26,8,23,7,44,27,21,7,28,46,6,7,46,29,26,48,28,36,21,23,23,7,28,8,49,30,20,8,23,40,9,7,41,25,21,44,27,38,25,21,27,9,22,9,44,23,28,7,31,40,8,9,42,26,29,36,19,38,33,24,31,7,29,5,41,1,,1,1
