cdf,length
0.0209677419355,1.0
0.0451612903226,2.0
0.0838709677419,3.0
0.122580645161,4.0
0.216129032258,5.0
0.23064516129,6.0
0.246774193548,7.0
0.256451612903,8.0
0.258064516129,9.0
0.366129032258,10.0
0.367741935484,11.0
0.375806451613,12.0
0.377419354839,13.0
0.38064516129,14.0
0.470967741935,15.0
0.472580645161,16.0
0.475806451613,17.0
0.477419354839,19.0
0.545161290323,20.0
0.546774193548,22.0
0.58064516129,23.0
0.582258064516,24.0
0.614516129032,25.0
0.616129032258,28.0
0.698387096774,30.0
0.712903225806,35.0
0.740322580645,40.0
0.741935483871,44.0
0.793548387097,45.0
0.795161290323,46.0
0.796774193548,47.0
0.817741935484,50.0
0.825806451613,55.0
0.841935483871,60.0
0.843548387097,63.0
0.848387096774,65.0
0.883870967742,68.0
0.888709677419,70.0
0.890322580645,75.0
0.893548387097,80.0
0.922580645161,90.0
0.924193548387,105.0
0.925806451613,106.0
0.927419354839,110.0
0.948387096774,113.0
0.95,115.0
0.967741935484,135.0
0.974193548387,158.0
0.975806451613,160.0
0.979032258065,180.0
0.985483870968,203.0
0.987096774194,215.0
0.990322580645,225.0
0.991935483871,248.0
0.995161290323,270.0
0.996774193548,315.0
1.0,540.0
